"Country","Weighted Average Rank","Weighted Average Allowance","Buildings Rank","Buildings Allowance","Machinery Rank","Machinery Allowance","Intangibles Rank","Intangibles Allowance"
"Estonia",1,1,1,1,1,1,1,1
"Latvia",1,1,1,1,1,1,1,1
"Lithuania",3,0.882,3,0.827,8,0.905,3,0.966
"Canada",4,0.767,5,0.625,4,0.984,37,0.519
"Italy",5,0.763,7,0.577,16,0.87,4,0.965
"Iceland",6,0.747,6,0.602,20,0.86,19,0.812
"France",7,0.742,9,0.548,12,0.88,6,0.87
"Switzerland",8,0.741,8,0.555,20,0.86,5,0.905
"Korea",9,0.74,9,0.548,7,0.922,22,0.738
"Slovakia",10,0.739,9,0.548,13,0.874,6,0.87
"Belgium",11,0.737,9,0.548,16,0.87,6,0.87
"Finland",12,0.734,15,0.519,6,0.935,22,0.738
"Czech Republic",13,0.733,14,0.543,13,0.874,15,0.841
"Mexico",14,0.727,4,0.63,30,0.795,20,0.795
"United Kingdom",15,0.724,23,0.391,1,1,17,0.827
"Israel",16,0.717,21,0.479,9,0.901,16,0.835
"Luxembourg",17,0.711,16,0.479,15,0.873,6,0.87
"Sweden",18,0.703,16,0.479,20,0.86,14,0.86
"Portugal",19,0.697,9,0.548,10,0.888,34,0.548
"Turkey",20,0.661,22,0.431,19,0.864,31,0.694
"United States",21,0.656,29,0.35,5,0.951,33,0.633
"Slovenia",22,0.653,23,0.391,16,0.87,22,0.738
"Australia",23,0.653,16,0.479,24,0.851,34,0.548
"Denmark",24,0.646,23,0.391,25,0.827,18,0.813
"Germany",25,0.644,23,0.391,29,0.804,6,0.87
"Ireland",26,0.639,16,0.479,31,0.787,32,0.646
"Austria",27,0.638,30,0.338,11,0.884,22,0.738
"Greece",28,0.631,16,0.479,34,0.738,22,0.738
"Netherlands",29,0.626,30,0.338,28,0.813,6,0.87
"Spain",30,0.613,23,0.391,33,0.779,22,0.738
"Japan",31,0.609,35,0.279,23,0.859,21,0.787
"Norway",32,0.607,28,0.374,32,0.782,22,0.738
"Poland",33,0.593,30,0.338,34,0.738,6,0.87
"Costa Rica",34,0.586,35,0.279,26,0.822,22,0.738
"Hungary",35,0.583,35,0.279,27,0.816,22,0.738
"Colombia",36,0.58,34,0.306,34,0.738,6,0.87
"Chile",37,0.417,30,0.338,38,0.633,38,0
"New Zealand",38,0.403,38,0,37,0.732,34,0.548
