"Country","Weighted Average Rank","Weighted Average Allowance","Buildings Rank","Buildings Allowance","Machinery Rank","Machinery Allowance","Intangibles Rank","Intangibles Allowance"
"Estonia",1,1,1,1,1,1,1,1
"Latvia",1,1,1,1,1,1,1,1
"Lithuania",3,0.882,3,0.827,12,0.905,3,0.966
"Canada",4,0.778,4,0.636,1,1,37,0.519
"Czech Republic",5,0.776,14,0.543,7,0.972,15,0.841
"Italy",6,0.763,6,0.577,18,0.87,4,0.965
"Mexico",7,0.756,8,0.548,8,0.957,21,0.738
"Iceland",8,0.747,5,0.602,22,0.86,18,0.812
"France",9,0.742,8,0.548,15,0.88,6,0.87
"Switzerland",10,0.741,7,0.555,22,0.86,5,0.905
"Korea",11,0.74,8,0.548,11,0.922,21,0.738
"Slovakia",12,0.739,8,0.548,16,0.874,6,0.87
"Belgium",13,0.737,8,0.548,18,0.87,6,0.87
"Finland",14,0.734,15,0.519,10,0.935,21,0.738
"United Kingdom",15,0.724,22,0.391,1,1,16,0.827
"Germany",16,0.711,22,0.391,8,0.957,6,0.87
"Luxembourg",17,0.711,16,0.479,17,0.873,6,0.87
"Israel",18,0.709,22,0.391,5,0.98,19,0.787
"Sweden",19,0.703,16,0.479,22,0.86,14,0.86
"Portugal",20,0.697,8,0.548,13,0.888,34,0.548
"United States",21,0.667,29,0.35,6,0.975,33,0.633
"Turkey",22,0.661,21,0.431,21,0.864,31,0.694
"Slovenia",23,0.653,22,0.391,18,0.87,21,0.738
"Australia",24,0.653,16,0.479,26,0.851,34,0.548
"Denmark",25,0.646,22,0.391,27,0.827,17,0.813
"Ireland",26,0.639,16,0.479,31,0.787,32,0.646
"Austria",27,0.638,30,0.338,14,0.884,21,0.738
"Greece",28,0.631,16,0.479,34,0.738,21,0.738
"Netherlands",29,0.626,30,0.338,30,0.813,6,0.87
"Spain",30,0.613,22,0.391,33,0.779,21,0.738
"Japan",31,0.609,36,0.279,25,0.859,19,0.787
"Norway",32,0.607,28,0.374,32,0.782,21,0.738
"Poland",33,0.593,30,0.338,34,0.738,6,0.87
"Costa Rica",34,0.586,36,0.279,28,0.822,21,0.738
"Hungary",35,0.583,36,0.279,29,0.816,21,0.738
"Colombia",36,0.58,35,0.306,34,0.738,6,0.87
"New Zealand",37,0.53,34,0.307,37,0.732,34,0.548
"Chile",38,0.417,30,0.338,38,0.633,38,0
