"Country","Weighted Average Rank","Weighted Average Allowance","Buildings Rank","Buildings Allowance","Machinery Rank","Machinery Allowance","Intangibles Rank","Intangibles Allowance"
"Estonia",1,1,1,1,1,1,1,1
"Latvia",1,1,1,1,1,1,1,1
"Lithuania",3,0.882,3,0.827,6,0.905,3,0.966
"Canada",4,0.768,4,0.625,4,0.986,36,0.519
"Italy",5,0.763,7,0.577,14,0.87,4,0.965
"Iceland",6,0.747,5,0.602,19,0.86,18,0.812
"France",7,0.742,10,0.548,9,0.88,6,0.87
"Switzerland",8,0.741,9,0.555,19,0.86,5,0.905
"Korea",9,0.74,10,0.548,5,0.922,21,0.738
"Slovakia",10,0.739,10,0.548,11,0.874,6,0.87
"Belgium",11,0.737,10,0.548,14,0.87,6,0.87
"Czech Republic",12,0.733,16,0.543,11,0.874,15,0.841
"Austria",13,0.732,8,0.567,8,0.884,21,0.738
"Portugal",14,0.726,10,0.548,7,0.888,21,0.738
"United Kingdom",15,0.724,25,0.391,1,1,16,0.827
"Luxembourg",16,0.711,18,0.479,13,0.873,6,0.87
"Sweden",17,0.703,18,0.479,19,0.86,14,0.86
"Finland",18,0.687,17,0.519,24,0.827,21,0.738
"Denmark",19,0.682,18,0.479,24,0.827,17,0.813
"Israel",20,0.661,25,0.391,14,0.87,19,0.787
"Turkey",21,0.661,24,0.431,18,0.864,31,0.694
"Mexico",22,0.66,10,0.548,32,0.738,21,0.738
"Slovenia",23,0.653,25,0.391,14,0.87,21,0.738
"Australia",24,0.653,18,0.479,23,0.851,34,0.548
"Ireland",25,0.639,18,0.479,29,0.787,32,0.646
"Greece",26,0.631,18,0.479,32,0.738,21,0.738
"Netherlands",27,0.626,32,0.338,28,0.813,6,0.87
"United States",28,0.623,31,0.35,10,0.877,33,0.633
"Germany",29,0.615,25,0.391,32,0.738,6,0.87
"Spain",30,0.613,25,0.391,31,0.779,21,0.738
"Japan",31,0.609,36,0.279,22,0.859,19,0.787
"Costa Rica",32,0.609,5,0.602,26,0.822,37,0
"Norway",33,0.607,30,0.374,30,0.782,21,0.738
"Poland",34,0.593,32,0.338,32,0.738,6,0.87
"Hungary",35,0.583,36,0.279,27,0.816,21,0.738
"Colombia",36,0.58,35,0.306,32,0.738,6,0.87
"New Zealand",37,0.496,38,0.226,37,0.732,34,0.548
"Chile",38,0.417,32,0.338,38,0.633,37,0
